"variable","group","n","mean","sd","median","min","max","q25","q75","best_dist","param1_name","param1_value","param2_name","param2_value","BIC_normal","BIC_lognormal","BIC_exponential"
"antioxidant1","0 - no tumour",987,1.6211,0.1892,1.63,1.07,2.43,1.48,1.76,"normal","mean",1.6211,"sd",0.1891,-473.2941,-433.7418,2934.5368
"antioxidant1","1 - tumour",160,1.6221,0.164,1.62,1.18,2.01,1.49,1.7425,"normal","mean",1.6221,"sd",0.1634,-115.4009,-113.1249,479.8587
"antioxidant2","0 - no tumour",987,2.3465,0.4659,2.31,1.18,3.82,2.01,2.62,"lognormal","meanlog",0.8334,"sdlog",0.1981,1306.2277,1263.7918,3664.5381
"antioxidant2","1 - tumour",160,2.3005,0.4482,2.275,1.54,3.76,2,2.5725,"lognormal","meanlog",0.8147,"sdlog",0.1912,206.3981,195.4923,591.6757
"antioxidant3","0 - no tumour",987,1.9763,0.3693,1.96,0.94,3.59,1.735,2.18,"normal","mean",1.9763,"sd",0.3691,847.423,855.4239,3325.6375
"antioxidant3","1 - tumour",160,1.9478,0.3565,1.895,0.97,3.1,1.72,2.18,"lognormal","meanlog",0.6499,"sdlog",0.1853,133.1759,132.7066,538.4111
"antioxidant4","0 - no tumour",987,7.7322,3.1464,7.16,0,25,5.365,9.58,"normal","mean",7.7322,"sd",3.1448,5076.4875,NA,NA
"antioxidant4","1 - tumour",160,8.5662,3.1165,8.32,3.26,19.29,6.3175,10.42,"lognormal","meanlog",2.0811,"sdlog",0.3716,826.9599,813.4126,1012.3785
"antioxidant5","0 - no tumour",987,0.6804,0.2908,0.6,0.23,2.04,0.47,0.83,"lognormal","meanlog",-0.4665,"sdlog",0.3974,375.3355,72.3024,1220.6261
"antioxidant5","1 - tumour",160,0.7636,0.2875,0.71,0.26,1.98,0.58,0.8825,"lognormal","meanlog",-0.334,"sdlog",0.3562,64.2996,27.0191,238.7781
"hormone1","0 - no tumour",987,1.8238,1.5799,1.5,0.05,26.1,1.1,2.1,"lognormal","meanlog",0.4046,"sdlog",0.6088,3716.6179,2634.0039,3167.0926
"hormone1","1 - tumour",160,1.6581,0.8625,1.5,0.3,5.5,1.1,2,"lognormal","meanlog",0.3826,"sdlog",0.5037,415.8573,367.1763,486.8952
"hormone10_generated","0 - no tumour",987,0.7617,8.2983,0.427,0.077,261,0.286,0.641,"lognormal","meanlog",-0.8698,"sdlog",0.6399,6990.8541,216.5671,1443.6231
"hormone10_generated","1 - tumour",160,0.5083,0.3656,0.4555,0.077,2.971,0.2928,0.617,"lognormal","meanlog",-0.872,"sdlog",0.6332,141.2592,38.9625,108.5066
"hormone2","0 - no tumour",987,375.1479,255.4109,312,31,2798,223,449.5,"lognormal","meanlog",5.7675,"sdlog",0.5457,13755.4059,13004.1775,13681.4252
"hormone2","1 - tumour",160,411.9562,270.8857,365.5,77,2630,255.75,490.75,"lognormal","meanlog",5.8815,"sdlog",0.5102,2255.7506,2130.944,2251.7687
"hormone3","0 - no tumour",987,8.9909,11.5823,5.6,0,118.4,3.4,9.4,"normal","mean",8.9909,"sd",11.5765,7649.0514,NA,NA
"hormone3","1 - tumour",160,9.9106,11.7904,6.05,0.1,91.2,3.9,10.575,"lognormal","meanlog",1.872,"sdlog",0.9014,1252.7382,1030.0562,1059.0295
"hormone4","0 - no tumour",987,7.5077,10.9219,5.5,0.1,131.4,3.8,7.3,"lognormal","meanlog",1.7024,"sdlog",0.6864,7533.1491,5432.5392,5960.3389
